demographic_variables,name,class,prompt,levels
brfss_2022,MARITAL,numeric,Are you...?,"1 = married, 
2 = divorced, 
3 = widowed, 
4 = separated, 
5 = never married, 
6 = a member of an unmarried couple, 
9 = refused"
data_cleaned,is_married,,,"1 = married,
0 = other"
brfss_2022,EDUCA,numeric,What is the highest grade or year of school you completed?,"1 = Never attended school or only kindergarten, 
2 = Grades 1 through 8 (Elementary), 
3 = Grades 9 through 11 (Some high school), 
4 = Grade 12 or GED (High school graduate), 
5 = College 1 year to 3 years (Some college or technical school), 
6 = College 4 years or more (College graduate), 
9 = refused"
data_cleaned,college_or_more,,,"1 = college or more,
0 = high school or less"
brfss_2022,RENTHOM1,numeric,Do you own or rent your home?,"1 = own, 
2 = rent, 
3 = other arrangement, 
7 = don't know/not sure, 
9 = refused"
data_cleaned,owns_home,,,"1 = own,
0 = other"
brfss_2022,VETERAN3,numeric,"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit?","1 = yes, 
2 = no, 
7 = don't know/not sure, 
9 = refused"
data_cleaned,veteran_status,,,"1 = yes,
0 = no"
brfss_2022,EMPLOY1,numeric,Are you currentlyâ€¦?,"1 = employed for wages, 
2 = self-employed, 
3 = out of work for 1 year or more, 
4 = out of work for less than 1 year, 
5 = a homemaker, 
6 = a student, 
7 = retired, 
8 = unable to work, 
9 = refused"
data_cleaned,currently_employed,,,"1 = employed/self-employed,
0 = other"
brfss_2022,CHILDREN,numeric,How many children less than 18 years of age live in your household?,"0, 1 - 87, 
88 = none, 
99 = refused"
data_cleaned,children,,,0 - 87
brfss_2022,INCOME3,numeric,Is your annual household income from all sources...?,"1 = Less than $10,000, 
2 = Less than $15,000 ($10,000 to < $15,000), 
3 = Less than $20,000 ($15,000 to < $20,000), 
4 = Less than $25,000 ($20,000 to < $25,000),
5 = Less than $35,000 ($25,000 to < $35,000), 
6 = Less than $50,000 ($35,000 to < $50,000), 
7 = Less than $75,000 ($50,000 to < $75,000), 
8 = Less than $100,000 ($75,000 to < $100,000), 
9 = Less than $150,000 ($100,000 to < $150,000), 
10 = Less than $200,000 ($150,000 to < $200,000), 
11 = $200,000 or more, 
77 = don't know/not sure, 
99 = refused"
data_cleaned,income_over_50k,,,"1 = over $50,000,
0 = under $50,000"
brfss_2022,PREGNANT,numeric,"To your knowledge, are you now pregnant?","1 = yes, 
2 = no, 
7 = don't know/not sure, 
9 = refused"
data_cleaned,pregnant,,,"1 = yes,
0 = no"
brfss_2022,DEAF,numeric,Are you deaf or do you have serious difficulty hearing?,"1 = yes, 
2 = no, 
7 = don't know/not sure, 
9 = refused"
data_cleaned,deaf,,,"1 = yes,
0 = no"